AccountNumber	PIN	Valid	Balance	Txns
0034437906619280	0739	VALID	5876816	10
0123966329802786	0340	VALID	3478195	10
0253001080502921	2438	INVALID	5932087	10
0268053901191171	9605	VALID	-7953033	10
0269488252370603	3514	VALID	7143965	10
0345716453277466	9197	VALID	884147	10
0384639859241813	1935	VALID	3854968	10
0397924907257509	3681	VALID	2383817	10
0478701240875239	4312	VALID	-7958998	10
0574406143964871	6593	VALID	2804715	10
0672091103568719	4001	VALID	-5272403	10
0761142054659115	4147	VALID	-8232984	10
0785081113400157	8005	INVALID	4310858	10
0911133562452295	7275	VALID	2150180	10
1000472407704943	6862	VALID	-3760346	10
1031372687244243	7150	VALID	-6084184	10
1076007510483779	7661	VALID	897492	10
1153196390621663	3744	VALID	-9938803	10
1177643941511320	4986	VALID	-8549106	10
1252666147097963	0605	VALID	2436290	10
1557025528274619	5831	VALID	2568152	10
1568347410070508	9437	VALID	9551855	10
1630935954619608	9903	VALID	-2171609	10
1754650138211303	2650	VALID	1567622	10
1775119283941914	1675	VALID	9542318	10
1831179846810870	7575	VALID	-6830234	10
2021103318360819	8335	VALID	1676687	10
2052069649237944	0194	VALID	262292	10
2079372774248976	3842	VALID	-437149	10
2344099482203771	2766	VALID	6084006	10
2430638375800442	1539	VALID	-2670060	10
2644248342467603	7460	VALID	-5639682	10
2830921828736728	8940	INVALID	4930621	10
2919603227836191	9345	VALID	-1958303	10
3241612258792312	1228	VALID	8017566	10
3341415152878284	9760	VALID	6017232	10
3631632607584365	7139	VALID	4898637	10
3667082211719153	3279	VALID	8226034	10
3670282288238365	8953	VALID	4406666	10
3691630066731043	5952	VALID	3532266	10
3725108812869396	1857	VALID	-9993262	10
3819003987502884	3639	VALID	-1770372	10
3825804204598753	5886	VALID	7478011	10
3878951797899163	5869	VALID	-573517	10
3920765624868086	1338	VALID	451209	10
4542470259536384	7393	VALID	-6674304	10
4614549331172195	4507	VALID	6433029	10
4621921067813883	7146	VALID	-9250419	10
4627591423410978	8521	VALID	328431	10
4683985583730462	2769	VALID	-4530660	10
4711094142726709	8668	VALID	9096782	10
4969769057732837	9013	VALID	-9234104	10
4991941476655435	2322	VALID	7763953	10
5311040463847222	5960	VALID	-3613917	10
5341803400368883	1911	VALID	5291184	10
5377182134615702	6904	VALID	573914	10
5749540896395199	4470	VALID	-6695747	10
5821911002253022	4785	VALID	8043876	10
5879529040041654	9560	VALID	-1484541	10
6184700133795909	9631	VALID	8861035	10
6270176304854923	8089	VALID	-3364407	10
6307732140708649	5866	VALID	-8231540	10
6396921367522900	8493	VALID	8572977	10
6423974596963461	4679	VALID	-6477190	10
6570712504610359	5762	VALID	6272611	10
6617207488495796	2190	VALID	3224386	10
6781402008106284	6107	VALID	-3434883	10
6853979237530168	5579	VALID	-800426	10
6854588208077115	3435	VALID	1981856	10
6928350458663383	4567	INVALID	-5097521	10
6997590163374213	2905	VALID	-3862228	10
7031306205270844	3609	VALID	-5774456	10
7148459759297996	3684	VALID	3964328	10
7222498344431801	2328	VALID	-5596997	10
7480668268702562	5021	VALID	-5731498	10
7566216793386032	4709	VALID	-5379244	10
7751811374327799	6797	VALID	-3953563	10
7761205440408131	1879	VALID	-7622081	10
7779581585613263	5173	VALID	5096278	10
7813983624081006	4049	VALID	9288267	10
7947431112389431	4427	VALID	4473616	10
8061099675259180	9679	VALID	6584381	10
8260062574071859	9121	VALID	5313719	10
8278950156234331	9979	VALID	-6787794	10
8473790619847176	3524	VALID	8918660	10
8483867929388420	2500	VALID	-2000197	10
8570760507294715	4178	VALID	2289299	10
8600748526783772	8112	VALID	-6779425	10
8664339398560004	8603	VALID	9415225	10
8819465354056482	9178	VALID	8745564	10
8842982402912438	8893	VALID	-5288363	10
8868304491960386	5728	VALID	123884	10
8912895295508600	3066	VALID	1194716	10
8928090048400584	2517	VALID	-5073539	10
9191622757799152	3430	VALID	-4865628	10
9263650804571498	5936	VALID	-5999573	10
9294878535317990	8820	VALID	-5016972	10
9424375356400913	6847	VALID	-5839338	10
9629546891553575	5783	INVALID	7262510	10
9951122720351487	0890	VALID	2789219	10
